Paper_ID,DOI,Material_Parent_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Confidence,Recovery_Status
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,Slip,1,binary,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Fe_at%,39.13,at.%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Mn_at%,41.23,at.%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Co_at%,9.98,at.%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Cr_at%,9.06,at.%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,C_at%,0.6,at.%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,SFE_mJ_m2,28.0,mJ/m2,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,DeltaG_FCC_HCP_J_mol,170,J/mol,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,YS_MPa,213.0,MPa,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,UTS_MPa,581.0,MPa,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Elongation_pct,80.0,%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Initial_HCP_fraction,0,fraction,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Initial_Sigma3_TB_fraction,0.567,fraction,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Grain_size_um,34,um,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Grain_Size_Including_TB_as_HAB_um,23,um,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,FCC_lattice_a_XRD_A,3.629,A,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Effective_TWIP,1.0,binary,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_RT,P012_OBS_C_RT_condition,Slip,1,binary,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Fe_at%,39.9,at.%,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Mn_at%,40.3,at.%,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_77K,P012_OBS_BASE_77K_condition,Co_at%,10.0,at.%,VERIFIED_WORKBOOK,Sec.3.5 pp.10-15; Conclusions p.18,High,VERIFIED
